approach,review_index,actual_stars,predicted_stars,correct,off_by_one
Zero-Shot Direct,0,3,4.0,False,True
Zero-Shot Direct,1,1,1.0,True,True
Zero-Shot Direct,2,1,1.0,True,True
Zero-Shot Direct,3,4,4.0,True,True
Zero-Shot Direct,4,4,5.0,False,True
Zero-Shot Direct,5,3,3.0,True,True
Zero-Shot Direct,6,2,1.0,False,True
Zero-Shot Direct,7,5,1.0,False,False
Zero-Shot Direct,8,5,5.0,True,True
Zero-Shot Direct,9,2,2.0,True,True
Zero-Shot Direct,10,2,1.0,False,True
Zero-Shot Direct,11,5,5.0,True,True
Zero-Shot Direct,12,5,5.0,True,True
Zero-Shot Direct,13,2,1.0,False,True
Zero-Shot Direct,14,5,5.0,True,True
Zero-Shot Direct,15,5,5.0,True,True
Zero-Shot Direct,16,2,1.0,False,True
Zero-Shot Direct,17,4,4.0,True,True
Zero-Shot Direct,18,3,3.0,True,True
Zero-Shot Direct,19,2,3.0,False,True
Zero-Shot Direct,20,4,4.0,True,True
Zero-Shot Direct,21,1,1.0,True,True
Zero-Shot Direct,22,4,5.0,False,True
Zero-Shot Direct,23,3,2.0,False,True
Zero-Shot Direct,24,2,1.0,False,True
Zero-Shot Direct,25,2,2.0,True,True
Zero-Shot Direct,26,3,4.0,False,True
Zero-Shot Direct,27,2,3.0,False,True
Zero-Shot Direct,28,4,4.0,True,True
Zero-Shot Direct,29,4,4.0,True,True
Zero-Shot Direct,30,1,,False,False
Zero-Shot Direct,31,1,,False,False
Zero-Shot Direct,32,2,1.0,False,True
Zero-Shot Direct,33,2,,False,False
Zero-Shot Direct,34,4,,False,False
Zero-Shot Direct,35,3,3.0,True,True
Zero-Shot Direct,36,4,,False,False
Zero-Shot Direct,37,4,,False,False
Zero-Shot Direct,38,5,5.0,True,True
Zero-Shot Direct,39,2,,False,False
Zero-Shot Direct,40,2,,False,False
Zero-Shot Direct,41,5,,False,False
Zero-Shot Direct,42,1,1.0,True,True
Zero-Shot Direct,43,1,,False,False
Zero-Shot Direct,44,4,,False,False
Zero-Shot Direct,45,5,5.0,True,True
Zero-Shot Direct,46,1,,False,False
Zero-Shot Direct,47,1,,False,False
Zero-Shot Direct,48,4,5.0,False,True
Zero-Shot Direct,49,3,,False,False
Zero-Shot Direct,50,3,,False,False
Zero-Shot Direct,51,5,4.0,False,True
Zero-Shot Direct,52,1,,False,False
Zero-Shot Direct,53,4,,False,False
Zero-Shot Direct,54,3,3.0,True,True
Zero-Shot Direct,55,2,,False,False
Zero-Shot Direct,56,4,,False,False
Zero-Shot Direct,57,3,4.0,False,True
Zero-Shot Direct,58,5,,False,False
Zero-Shot Direct,59,3,,False,False
Zero-Shot Direct,60,5,5.0,True,True
Zero-Shot Direct,61,3,,False,False
Zero-Shot Direct,62,1,,False,False
Zero-Shot Direct,63,1,1.0,True,True
Zero-Shot Direct,64,1,,False,False
Zero-Shot Direct,65,3,,False,False
Zero-Shot Direct,66,2,2.0,True,True
Zero-Shot Direct,67,5,,False,False
Zero-Shot Direct,68,3,,False,False
Zero-Shot Direct,69,4,4.0,True,True
Zero-Shot Direct,70,2,,False,False
Zero-Shot Direct,71,4,,False,False
Zero-Shot Direct,72,5,5.0,True,True
Zero-Shot Direct,73,2,,False,False
Zero-Shot Direct,74,3,,False,False
Zero-Shot Direct,75,3,4.0,False,True
Zero-Shot Direct,76,1,,False,False
Zero-Shot Direct,77,4,,False,False
Zero-Shot Direct,78,3,2.0,False,True
Zero-Shot Direct,79,3,,False,False
Zero-Shot Direct,80,1,,False,False
Zero-Shot Direct,81,2,,False,False
Zero-Shot Direct,82,2,2.0,True,True
Zero-Shot Direct,83,5,,False,False
Zero-Shot Direct,84,5,,False,False
Zero-Shot Direct,85,3,3.0,True,True
Zero-Shot Direct,86,5,,False,False
Zero-Shot Direct,87,1,,False,False
Zero-Shot Direct,88,5,5.0,True,True
Zero-Shot Direct,89,2,,False,False
Zero-Shot Direct,90,1,,False,False
Zero-Shot Direct,91,4,5.0,False,True
